DEC,HEX,Mode,Name,Description,Tag
46812,b6dc,D,PS TAC 13,PS TAC 13,Multi-Tac
46813,b6dd,D,PS TAC 14,PS TAC 14,Multi-Tac
46814,b6de,D,PS TAC 15,PS TAC 15,Multi-Tac
46815,b6df,D,PS TAC 16,PS TAC 16,Multi-Tac
46816,b6e0,D,PS TAC 17,PS TAC 17,Multi-Tac
46817,b6e1,D,PS TAC 18,PS TAC 18,Multi-Tac
46818,b6e2,D,PS TAC 19,PS TAC 19,Multi-Tac
46819,b6e3,D,PS TAC 20,PS TAC 20,Multi-Tac
46820,b6e4,D,PS TAC 21,PS TAC 21,Multi-Tac
46821,b6e5,D,PS TAC 22,PS TAC 22,Multi-Tac
46822,b6e6,D,PS TAC 23,PS TAC 23,Multi-Tac
46823,b6e7,D,PS TAC 24,PS TAC 24,Multi-Tac
46824,b6e8,D,PS TAC 25,PS TAC 25,Multi-Tac
46825,b6e9,D,PS TAC 26,PS TAC 26,Multi-Tac
46826,b6ea,D,PS TAC 27,PS TAC 27,Multi-Tac
46827,b6eb,D,PS TAC 28,PS TAC 28,Multi-Tac
46828,b6ec,D,PS TAC 29,PS TAC 29,Multi-Tac
46829,b6ed,D,PS TAC 30,PS TAC 30,Multi-Tac
46830,b6ee,D,PS TAC 31,PS TAC 31,Multi-Tac
46831,b6ef,D,PS TAC 32,PS TAC 32,Multi-Tac
46832,b6f0,D,PS TAC 33,PS TAC 33,Multi-Tac
46833,b6f1,D,PS TAC 34,PS TAC 34,Multi-Tac
46834,b6f2,D,PS TAC 35,PS TAC 35,Multi-Tac
46835,b6f3,D,PS TAC 36,PS TAC 36,Multi-Tac
46836,b6f4,D,PS TAC 37,PS TAC 37,Multi-Tac
46837,b6f5,D,PS TAC 38,PS TAC 38,Multi-Tac
46838,b6f6,D,PS TAC 39,PS TAC 39,Multi-Tac
46800,b6d0,D,FD OPS 1,FIRE OPS 1,Fire-Tac
46801,b6d1,D,FD OPS 2,FIRE OPS 2,Fire-Tac
46802,b6d2,D,FD OPS 3,FIRE OPS 3,Fire-Tac
46803,b6d3,D,FD OPS 4,FIRE OPS 4,Fire-Tac
46804,b6d4,D,FD OPS 5,FIRE OPS 5,Fire-Tac
46805,b6d5,D,FD OPS 6,FIRE OPS 6,Fire-Tac
46806,b6d6,D,FD OPS 7,FIRE OPS 7,Fire-Tac
46807,b6d7,D,FD OPS 8,FIRE OPS 8,Fire-Tac
46808,b6d8,D,FD OPS 9,FIRE OPS 9,Fire-Tac
46809,b6d9,D,FD OPS 10,FIRE OPS 10,Fire-Tac
46810,b6da,D,FD OPS 11,FIRE OPS 11,Fire-Tac
46811,b6db,D,FD OPS 12,FIRE OPS 12,Fire-Tac
46534,b5c6,D,PS TAC 40,PS TAC 40,Fire-Tac
46535,b5c7,D,PS TAC 41,PS TAC 41,Fire-Tac
46536,b5c8,D,PS TAC 42,PS TAC 42,Fire-Tac
46537,b5c9,D,PS TAC 43,PS TAC 43,Fire-Tac
46545,b5d1,D,PS TAC 44,PS TAC 44,Fire-Tac
46546,b5d2,D,PS TAC 45,PS TAC 45,Fire-Tac
46547,b5d3,D,PS TAC 46,PS TAC 46,Fire-Tac
46548,b5d4,D,PS TAC 47,PS TAC 47,Fire-Tac
46549,b5d5,D,PS TAC 48,PS TAC 48,Fire-Tac
46517,b5b5,D,PS TAC 49,PS TAC 49,Fire-Tac
46518,b5b6,D,PS TAC 50,PS TAC 50,Fire-Tac
46519,b5b7,D,PS TAC 51,PS TAC 51,Fire-Tac
46520,b5b8,D,PS TAC 52,PS TAC 52,Fire-Tac
46521,b5b9,D,PS TAC 53,PS TAC 53,Fire-Tac
46522,b5ba,D,PS TAC 54,PS TAC 54,Fire-Tac
46523,b5bb,D,PS TAC 55,PS TAC 55,Fire-Tac
46524,b5bc,D,PS TAC 56,PS TAC 56,Fire-Tac
46525,b5bd,D,PS TAC 57,PS TAC 57,Fire-Tac
46526,b5be,D,PS TAC 58,PS TAC 58,Fire-Tac
46527,b5bf,D,PS TAC 59,PS TAC 59,Fire-Tac
46528,b5c0,D,PS TAC 60,PS TAC 60 (EMS to PSAP),Fire-Tac